Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,392156,NonLiteral
 > 25.0%, > 1,285014,Literal
 > 25.0%, > 50,45441,NonLiteral
 > 25.0%, > 50,33574,Literal
 > 25.0%, > 100,29685,NonLiteral
 > 25.0%, > 100,21667,Literal
 > 25.0%, > 500,12973,NonLiteral
 > 25.0%, > 500,9012,Literal
 > 25.0%, > 1000,7892,NonLiteral
 > 25.0%, > 1000,5591,Literal
 > 50.0%, > 1,198096,NonLiteral
 > 50.0%, > 1,161650,Literal
 > 50.0%, > 50,35229,NonLiteral
 > 50.0%, > 50,25741,Literal
 > 50.0%, > 100,22945,NonLiteral
 > 50.0%, > 100,16669,Literal
 > 50.0%, > 500,10322,NonLiteral
 > 50.0%, > 500,7213,Literal
 > 50.0%, > 1000,6272,NonLiteral
 > 50.0%, > 1000,4452,Literal
 > 90.0%, > 1,118964,NonLiteral
 > 90.0%, > 1,95609,Literal
 > 90.0%, > 50,21514,NonLiteral
 > 90.0%, > 50,14032,Literal
 > 90.0%, > 100,13831,NonLiteral
 > 90.0%, > 100,8990,Literal
 > 90.0%, > 500,6723,NonLiteral
 > 90.0%, > 500,4314,Literal
 > 90.0%, > 1000,3924,NonLiteral
 > 90.0%, > 1000,2544,Literal
 > 75.0%, > 1,145376,NonLiteral
 > 75.0%, > 1,117186,Literal
 > 75.0%, > 50,27498,NonLiteral
 > 75.0%, > 50,19035,Literal
 > 75.0%, > 100,17867,NonLiteral
 > 75.0%, > 100,12263,Literal
 > 75.0%, > 500,8317,NonLiteral
 > 75.0%, > 500,5567,Literal
 > 75.0%, > 1000,4987,NonLiteral
 > 75.0%, > 1000,3359,Literal
