DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP,
yago, > 1.0%, > 1.0,25213,1,14.543874210356434730483700,76765,315413,1,1,1,8897,1.079215085344570723194143,3,8.628189277284477913903563,1,1341,1,50708,128,
yago, > 25.0%, > 1,22987,1,3.434979137691237830319889,45091,29637,1,1,1,8411,1.005814112936401283492856,3,5.363506601641489235161175,2,20,1,36675,18,
yago, > 25.0%, > 50,4835,1,3.026168224299065420560748,10270,6476,1,1,1,2120,1.002829028290282902829028,2,4.851204534718941898913557,2,17,1,8153,15,
yago, > 25.0%, > 100,2956,1,3.065815983881799865681666,6649,4565,1,1,1,1333,1.002131782945736434108527,2,4.999248120300751879699248,2,10,1,5171,15,
yago, > 25.0%, > 500,1042,1,3.079439252336448598130841,2563,1977,1,1,1,495,1.003643935450286309213951,2,5.177777777777777777777778,2,8,1,1928,13,
yago, > 25.0%, > 1000,671,1,3.084821428571428571428571,1732,1382,1,1,1,328,1.004672897196261682242991,2,5.280487804878048780487805,2,8,1,1290,13,
yago, > 50.0%, > 1,22987,1,2.852507836990595611285266,38041,18199,1,1,1,8411,1.000063169198698714506806,2,4.524919709765671464255977,2,16,1,31663,15,
yago, > 50.0%, > 50,4835,1,2.611021069692058346839546,9244,4833,1,1,1,2120,1,1,4.366556447803495512517714,2,10,1,7393,14,
yago, > 50.0%, > 100,2956,1,2.619565217391304347826087,5925,3374,1,1,1,1333,1,1,4.454887218045112781954887,2,10,1,4637,14,
yago, > 50.0%, > 500,1042,1,2.564899451553930530164534,2246,1403,1,1,1,495,1,1,4.537373737373737373737374,2,8,1,1699,9,
yago, > 50.0%, > 1000,671,1,2.574123989218328840970350,1499,955,1,1,1,328,1,1,4.570121951219512195121951,2,7,1,1128,9,
yago, > 90.0%, > 1,22987,1,2.554530477759472817133443,26206,7753,1,1,1,8411,1,1,3.117535093980490126100404,1,15,1,23171,10,
yago, > 90.0%, > 50,4835,1,2.364190012180267965895250,6395,1941,1,1,1,2120,1,1,3.022211720226843100189036,2,9,1,5574,10,
yago, > 90.0%, > 100,2956,1,2.391382405745062836624776,4049,1332,1,1,1,1333,1,1,3.046651617757712565838977,2,8,1,3492,10,
yago, > 90.0%, > 500,1042,1,2.398190045248868778280543,1527,530,1,1,1,495,1,1,3.084848484848484848484848,2,8,1,1306,8,
yago, > 90.0%, > 1000,671,1,2.284722222222222222222222,1015,329,1,1,1,328,1,1,3.094512195121951219512195,2,6,1,871,8,
yago, > 75.0%, > 1,22987,1,2.592324561403508771929825,31095,11821,1,1,1,8411,1.000075372149990578481251,2,3.699143468950749464668094,2,15,1,26537,12,
yago, > 75.0%, > 50,4835,1,2.392651296829971181556196,7754,3321,1,1,1,2120,1,1,3.664461247637051039697543,2,9,1,6366,12,
yago, > 75.0%, > 100,2956,1,2.418162618796198521647307,4912,2290,1,1,1,1333,1,1,3.696012039127163280662152,2,9,1,3965,12,
yago, > 75.0%, > 500,1042,1,2.381642512077294685990338,1891,986,1,1,1,495,1,1,3.820202020202020202020202,2,8,1,1477,8,
yago, > 75.0%, > 1000,671,1,2.343065693430656934306569,1253,642,1,1,1,328,1,1,3.820121951219512195121951,2,6,1,979,8,
