DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP,
WikiData, > 1.0%, > 1.0,313490,1,6.435766901554735311506320,1900338,4027696,1,1,1,79277,1,1,23.970861662272790342722353,1,17515,1,1023473,3909,
WikiData, > 25.0%, > 1,132749,1,2.078969411016275247839686,473644,392156,1,1,1,52000,1,1,9.146885017959908848634661,1,164,1,285014,293,
WikiData, > 25.0%, > 50,10421,1,1.844196428571428571428571,58214,45441,1,1,1,9453,1,1,6.407705008255365987892130,1,41,1,33574,197,
WikiData, > 25.0%, > 100,5398,1,1.863231232739141350740648,37599,29685,1,1,1,6318,1,1,6.196275543836519446275544,1,25,1,21667,149,
WikiData, > 25.0%, > 500,2320,1,1.838577097505668934240363,16068,12973,1,1,1,2790,1,1,5.962152133580705009276438,1,25,1,9012,38,
WikiData, > 25.0%, > 1000,1016,1,1.860004713646005185010606,9834,7892,1,1,1,1649,1,1,6.231939163498098859315589,1,25,1,5591,35,
WikiData, > 50.0%, > 1,132749,1,1.790083406377922160071569,272313,198096,1,1,1,52000,1,1,5.391802791802791802791803,1,71,1,161650,200,
WikiData, > 50.0%, > 50,10421,1,1.750422339262645334393322,45867,35229,1,1,1,9453,1,1,5.072660915726609157266092,1,24,1,25741,149,
WikiData, > 50.0%, > 100,5398,1,1.763778922284572219232839,29678,22945,1,1,1,6318,1,1,4.914389799635701275045537,1,21,1,16669,149,
WikiData, > 50.0%, > 500,2320,1,1.746235831500592116393165,13124,10322,1,1,1,2790,1,1,4.889716840536512667660209,1,20,1,7213,35,
WikiData, > 50.0%, > 1000,1016,1,1.782324524012503552145496,7971,6272,1,1,1,1649,1,1,5.073838319541693189051560,1,20,1,4452,29,
WikiData, > 90.0%, > 1,132749,1,1.783167203777261485423068,162324,118964,1,1,1,52000,1,1,3.771205538647399112515392,1,49,1,95609,132,
WikiData, > 90.0%, > 50,10421,1,1.732066661299412285645278,26453,21514,1,1,1,9453,1,1,3.562213843253433880958793,1,24,1,14032,98,
WikiData, > 90.0%, > 100,5398,1,1.757433290978398983481576,16860,13831,1,1,1,6318,1,1,3.401250756505951180149284,1,17,1,8990,98,
WikiData, > 90.0%, > 500,2320,1,1.726945800154122784484973,8207,6723,1,1,1,2790,1,1,3.612235915492957746478873,1,17,1,4314,24,
WikiData, > 90.0%, > 1000,1016,1,1.775565610859728506787330,4754,3924,1,1,1,1649,1,1,3.615209125475285171102662,1,17,1,2544,24,
WikiData, > 75.0%, > 1,132749,1,1.768392370572207084468665,199394,145376,1,1,1,52000,1,1,4.214270617576193092953460,1,49,1,117186,143,
WikiData, > 75.0%, > 50,10421,1,1.727261306532663316582915,34955,27498,1,1,1,9453,1,1,4.093091334894613583138173,1,24,1,19035,124,
WikiData, > 75.0%, > 100,5398,1,1.741932338890513795456761,22520,17867,1,1,1,6318,1,1,3.953651685393258426966292,1,17,1,12263,124,
WikiData, > 75.0%, > 500,2320,1,1.722302754193414785669911,10396,8317,1,1,1,2790,1,1,4.092913385826771653543307,1,17,1,5567,30,
WikiData, > 75.0%, > 1000,1016,1,1.758462623413258110014104,6195,4987,1,1,1,1649,1,1,4.182984469952734638757596,1,17,1,3359,27,
