DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP,
dbpedia, > 1.0%, > 1.0,235,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 90.0%, > 1,790,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 90.0%, > 50,696,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 90.0%, > 100,664,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 90.0%, > 500,508,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 90.0%, > 1000,401,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 80.0%, > 1,984,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 80.0%, > 50,869,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 80.0%, > 100,833,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 80.0%, > 500,641,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 80.0%, > 1000,514,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 99.0%, > 1,474,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 99.0%, > 50,394,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 99.0%, > 100,376,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 99.0%, > 500,287,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 99.0%, > 1000,230,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 75.0%, > 1,1092,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 75.0%, > 50,966,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 75.0%, > 100,924,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 75.0%, > 500,711,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 75.0%, > 1000,574,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 85.0%, > 1,886,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 85.0%, > 50,780,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 85.0%, > 100,747,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 85.0%, > 500,573,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 85.0%, > 1000,455,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 95.0%, > 1,657,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 95.0%, > 50,572,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 95.0%, > 100,545,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 95.0%, > 500,413,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
dbpedia, > 95.0%, > 1000,329,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330,
