DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP,
lubm, > 1.0%, > 1.0,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 90.0%, > 1,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 90.0%, > 50,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 90.0%, > 100,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 90.0%, > 500,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 90.0%, > 1000,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 80.0%, > 1,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 80.0%, > 50,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 80.0%, > 100,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 80.0%, > 500,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 80.0%, > 1000,138,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 99.0%, > 1,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 99.0%, > 50,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 99.0%, > 100,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 99.0%, > 500,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 99.0%, > 1000,135,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 75.0%, > 1,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 75.0%, > 50,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 75.0%, > 100,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 75.0%, > 500,139,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 75.0%, > 1000,138,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 85.0%, > 1,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 85.0%, > 50,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 85.0%, > 100,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 85.0%, > 500,137,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 85.0%, > 1000,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 95.0%, > 1,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 95.0%, > 50,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 95.0%, > 100,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 95.0%, > 500,136,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
lubm, > 95.0%, > 1000,135,1,3.018691588785046728971963,164,323,1,1,1,23,1,1,7.130434782608695652173913,1,14,1,57,15,
