Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,239,NonLiteral
 > 25.0%, > 1,55,Literal
 > 25.0%, > 50,239,NonLiteral
 > 25.0%, > 50,55,Literal
 > 25.0%, > 100,239,NonLiteral
 > 25.0%, > 100,55,Literal
 > 25.0%, > 500,239,NonLiteral
 > 25.0%, > 500,54,Literal
 > 25.0%, > 1000,226,NonLiteral
 > 25.0%, > 1000,54,Literal
 > 50.0%, > 1,216,NonLiteral
 > 50.0%, > 1,54,Literal
 > 50.0%, > 50,216,NonLiteral
 > 50.0%, > 50,54,Literal
 > 50.0%, > 100,216,NonLiteral
 > 50.0%, > 100,54,Literal
 > 50.0%, > 500,216,NonLiteral
 > 50.0%, > 500,54,Literal
 > 50.0%, > 1000,203,NonLiteral
 > 50.0%, > 1000,54,Literal
 > 90.0%, > 1,214,NonLiteral
 > 90.0%, > 1,52,Literal
 > 90.0%, > 50,214,NonLiteral
 > 90.0%, > 50,52,Literal
 > 90.0%, > 100,214,NonLiteral
 > 90.0%, > 100,52,Literal
 > 90.0%, > 500,214,NonLiteral
 > 90.0%, > 500,52,Literal
 > 90.0%, > 1000,201,NonLiteral
 > 90.0%, > 1000,52,Literal
 > 75.0%, > 1,214,NonLiteral
 > 75.0%, > 1,54,Literal
 > 75.0%, > 50,214,NonLiteral
 > 75.0%, > 50,54,Literal
 > 75.0%, > 100,214,NonLiteral
 > 75.0%, > 100,54,Literal
 > 75.0%, > 500,214,NonLiteral
 > 75.0%, > 500,54,Literal
 > 75.0%, > 1000,201,NonLiteral
 > 75.0%, > 1000,54,Literal
