Dataset,Method,Second,Minute,SecondTotal,MinuteTotal,MaxCard,DatasetPath
WikiData,firstPass,365,6,365,6,false,/app/data/wikidata-shexer-clean.n3
Dataset,Method,Second,Minute,SecondTotal,MinuteTotal,MaxCard,DatasetPath
WikiData,firstPass,325,5,325,5,false,/app/data/wikidata-shexer-clean.n3
WikiData,secondPass,546,9,871,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,computeSupportConfidence,28,0,899,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_1,23,0,922,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_10,3,0,925,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_25,1,0,926,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_50,1,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_100,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_150,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_200,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_250,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_300,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_350,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_450,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_500,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.25_1000,0,0,927,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_1,17,0,944,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_10,3,0,947,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_25,1,0,948,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_50,1,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_100,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_150,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_200,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_250,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_300,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_350,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_450,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_500,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.5_1000,0,0,949,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_1,14,0,963,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_10,2,0,965,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_25,1,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_50,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_100,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_150,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_200,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_250,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_300,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_350,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_450,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_500,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.9_1000,0,0,966,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_1,15,0,981,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_10,3,0,984,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_25,1,0,985,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_50,1,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_100,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_150,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_200,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_250,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_300,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_350,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_450,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_500,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,0.75_1000,0,0,986,14,false,/app/data/wikidata-shexer-clean.n3
WikiData,extractSHACLShapes,155,2,1141,16,false,/app/data/wikidata-shexer-clean.n3
