File_A, File_B, Confidence, Support, NS, PS, NS_Samp, PS_Samp, Precision_NS, Recall_NS, Precision_PS, Recall_PS, MaxReservoirSize, TargetPercentage
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_DEFAULT_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_DEFAULT_SHACL.ttl,-,-,13227,202085,13227,199688,1.00,1.00,1.00,0.99,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_1_SHACL.ttl,0.25,1,13227,100613,13227,98284,1.00,1.00,1.00,0.98,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_10_SHACL.ttl,0.25,10,2822,18322,2822,18277,1.00,1.00,0.99,0.99,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_25_SHACL.ttl,0.25,25,1614,10149,1614,10197,1.00,1.00,0.98,0.99,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_50_SHACL.ttl,0.25,50,1054,6465,1054,6548,1.00,1.00,0.97,0.99,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_100_SHACL.ttl,0.25,100,704,4213,704,4316,1.00,1.00,0.96,0.98,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_500_SHACL.ttl,0.25,500,261,1493,261,1649,1.00,1.00,0.88,0.97,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.25_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.25_1000_SHACL.ttl,0.25,1000,165,945,165,1203,1.00,1.00,0.75,0.96,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.5_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.5_1_SHACL.ttl,0.5,1,13227,83622,13227,82493,1.00,1.00,1.00,0.99,1000,100
/app/local/Output/Latest-wo-max-card/wikidata-shexer/wikidata-shexer-clean_CUSTOM_0.5_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata-shexer/sampled/wikidata-shexer-clean_CUSTOM_0.5_10_SHACL.ttl,0.5,10,2822,16004,2822,16013,1.00,1.00,0.99,0.99,1000,100
