File_A, File_B, Confidence, Support, NS, PS, NS_Samp, PS_Samp, Precision_NS, Recall_NS, Precision_PS, Recall_PS, MaxReservoirSize, TargetPercentage
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,-,-,82651,2051538,82651,1932695,1.00,1.00,1.00,0.94,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,0.25,1,82651,698825,82651,627844,1.00,1.00,1.00,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,0.25,10,23640,158283,23640,142436,1.00,1.00,0.99,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,0.25,25,14683,95333,14683,86159,1.00,1.00,0.99,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,0.25,50,9920,62038,9920,56355,1.00,1.00,0.98,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,0.25,100,6596,39877,6596,36566,1.00,1.00,0.97,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_500_SHACL.ttl,0.25,500,2891,16960,2891,15920,1.00,1.00,0.94,0.88,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1000_SHACL.ttl,0.25,1000,1701,10360,1701,9839,1.00,1.00,0.91,0.86,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1_SHACL.ttl,0.5,1,82651,483813,82651,435905,1.00,1.00,1.00,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_10_SHACL.ttl,0.5,10,23640,121866,23640,110253,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_25_SHACL.ttl,0.5,25,14683,74694,14683,67943,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_50_SHACL.ttl,0.5,50,9920,48997,9920,44776,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_100_SHACL.ttl,0.5,100,6596,31509,6596,29079,1.00,1.00,0.98,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_500_SHACL.ttl,0.5,500,2891,13866,2891,13034,1.00,1.00,0.95,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1000_SHACL.ttl,0.5,1000,1701,8395,1701,7937,1.00,1.00,0.93,0.88,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_1_SHACL.ttl,0.9,1,82651,366045,82651,331391,1.00,1.00,1.00,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_10_SHACL.ttl,0.9,10,23640,69951,23640,64308,1.00,1.00,1.00,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_25_SHACL.ttl,0.9,25,14683,43196,14683,39981,1.00,1.00,0.99,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_50_SHACL.ttl,0.9,50,9920,28371,9920,26449,1.00,1.00,0.99,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_100_SHACL.ttl,0.9,100,6596,18028,6596,16993,1.00,1.00,0.98,0.93,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_500_SHACL.ttl,0.9,500,2891,8702,2891,8326,1.00,1.00,0.96,0.92,1000,100
