DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,302431,1,4.742349467293169159820344,2287017,1,1937623,1,1,82651,1,1,23.443430811484434550096188,1234,1643,1,1039160,1,
WikiData, > 25.0%, > 1,302431,1,2.249957601332814573170123,451067,1,628947,1,1,82651,1,1,7.699097819833274167288930,154,300,1,428469,1,
WikiData, > 25.0%, > 10,35737,1,2.060143428215584259054659,102556,1,142640,1,1,23640,1,1,6.244910468018037739153277,60,186,1,92859,1,
WikiData, > 25.0%, > 25,18087,1,2.037311449265731942321749,61319,1,86294,1,1,14683,1,1,6.099378003958156629912355,40,186,1,56196,1,
WikiData, > 25.0%, > 50,9919,1,2.030903287907188814023000,40088,1,56445,1,1,9920,1,1,5.934083263246425567703953,40,186,1,36706,1,
WikiData, > 25.0%, > 100,4855,1,2.032594321275768183586153,26129,1,36620,1,1,6596,1,1,5.805326569435637285986049,24,138,1,23765,1,
WikiData, > 25.0%, > 150,3487,1,2.012278177458033573141487,20978,1,29448,1,1,5279,1,1,5.840539468464894882982943,22,112,1,19023,1,
WikiData, > 25.0%, > 200,2873,1,2.006229836466792746690399,18034,1,25214,1,1,4519,1,1,5.824439824439824439824440,22,66,1,16225,1,
WikiData, > 25.0%, > 250,2408,1,2.000744786494538232373386,16118,1,22412,1,1,4010,1,1,5.834938818016141629783910,22,65,1,14356,1,
WikiData, > 25.0%, > 300,2144,1,1.995109360141285151473985,14686,1,20439,1,1,3682,1,1,5.796653431650595575723199,22,65,1,13078,1,
WikiData, > 25.0%, > 350,1947,1,1.995615317158725518854136,13654,1,19007,1,1,3405,1,1,5.817875726966636057545148,22,65,1,12165,1,
WikiData, > 25.0%, > 450,1677,1,1.989313471502590673575130,12286,1,17198,1,1,3012,1,1,5.911997249914059814369199,22,65,1,11022,1,
WikiData, > 25.0%, > 500,1588,1,1.989558773997979117547996,11814,1,16544,1,1,2891,1,1,5.936132041621815572299964,22,65,1,10606,1,
WikiData, > 25.0%, > 1000,0,1,2.166421207658321060382916,8826,-999,12128,1,0,1701,1,1,7.180580224985198342214328,22,65,-999,8054,1,
WikiData, > 50.0%, > 1,302431,1,2.078506813074275310784286,292263,1,436580,1,1,82651,1,1,5.436590954373381151623829,91,243,1,295968,1,
WikiData, > 50.0%, > 10,35737,1,1.944710652414301511242167,79140,1,110394,1,1,23640,1,1,4.861030383091149273447820,34,140,1,69699,1,
WikiData, > 50.0%, > 25,18087,1,1.921481363744734959866487,48356,1,68032,1,1,14683,1,1,4.834908677421647359818066,23,137,1,42866,1,
WikiData, > 50.0%, > 50,9919,1,1.923515639070660983370355,32040,1,44826,1,1,9920,1,1,4.733474128827877507919747,23,137,1,28169,1,
WikiData, > 50.0%, > 100,4855,1,1.917112299465240641711230,20793,1,29109,1,1,6596,1,1,4.634453112561693997771056,23,137,1,18263,1,
WikiData, > 50.0%, > 150,3487,1,1.888259292837715321849501,16662,1,23461,1,1,5279,1,1,4.676300578034682080924855,17,112,1,14637,1,
WikiData, > 50.0%, > 200,2873,1,1.878272251308900523560209,14350,1,20177,1,1,4519,1,1,4.682524947783708517057322,14,45,1,12537,1,
WikiData, > 50.0%, > 250,2408,1,1.871484773422701442517849,12844,1,18010,1,1,4010,1,1,4.710959979074025634318598,14,45,1,11147,1,
WikiData, > 50.0%, > 300,2144,1,1.860298792116973935155753,11705,1,16476,1,1,3682,1,1,4.691343963553530751708428,14,45,1,10184,1,
WikiData, > 50.0%, > 350,1947,1,1.856187864244086390126843,10829,1,15279,1,1,3405,1,1,4.695451751690227412415489,14,45,1,9445,1,
WikiData, > 50.0%, > 450,1677,1,1.838381901840490797546012,9589,1,13683,1,1,3012,1,1,4.721532091097308488612836,14,45,1,8467,1,
WikiData, > 50.0%, > 500,1588,1,1.832630945213726670680313,9132,1,13052,1,1,2891,1,1,4.701729106628242074927954,14,45,1,8069,1,
WikiData, > 50.0%, > 1000,0,1,1.970249520153550863723608,6159,-999,8708,1,0,1701,1,1,5.195704057279236276849642,14,45,-999,5582,1,
WikiData, > 90.0%, > 1,302431,1,2.099683278993945039590126,225401,1,331894,1,1,82651,1,1,4.578985127341960762672112,91,243,1,224544,1,
WikiData, > 90.0%, > 10,35737,1,1.892375155936944769969380,50059,1,64363,1,1,23640,1,1,3.408154620068837701879799,20,113,1,37910,1,
WikiData, > 90.0%, > 25,18087,1,1.844748037629576367667326,30787,1,40008,1,1,14683,1,1,3.427396556155230017990234,20,95,1,23319,1,
WikiData, > 90.0%, > 50,9919,1,1.833847270088880827135861,20220,1,26463,1,1,9920,1,1,3.378399080811949444657219,20,84,1,15437,1,
WikiData, > 90.0%, > 100,4855,1,1.819563687543983110485574,12928,1,16998,1,1,6596,1,1,3.268217650451836185348971,13,84,1,9893,1,
WikiData, > 90.0%, > 150,3487,1,1.787114368501789671041418,10485,1,13906,1,1,5279,1,1,3.316479847364655378010971,13,84,1,8039,1,
WikiData, > 90.0%, > 200,2873,1,1.779988410276221750048291,9215,1,12152,1,1,4519,1,1,3.355979011322838994752831,13,26,1,6975,1,
WikiData, > 90.0%, > 250,2408,1,1.765993623804463336875664,8309,1,10967,1,1,4010,1,1,3.403786468032278088144010,13,24,1,6262,1,
WikiData, > 90.0%, > 300,2144,1,1.753546910755148741418764,7663,1,10152,1,1,3682,1,1,3.422791638570465273095078,13,23,1,5782,1,
WikiData, > 90.0%, > 350,1947,1,1.742179863147605083088954,7129,1,9516,1,1,3405,1,1,3.442836468885672937771346,13,23,1,5424,1,
WikiData, > 90.0%, > 450,1677,1,1.714789687924016282225237,6319,1,8646,1,1,3012,1,1,3.491922455573505654281099,13,23,1,4961,1,
WikiData, > 90.0%, > 500,1588,1,1.707618779870677537250492,6074,1,8325,1,1,2891,1,1,3.508217446270543615676359,13,23,1,4768,1,
WikiData, > 90.0%, > 1000,0,1,1.873424104891578416540595,3715,-999,4867,1,0,1701,1,1,3.501438848920863309352518,13,23,-999,2884,1,
WikiData, > 75.0%, > 1,302431,1,2.076728054688611280781170,248196,1,367223,1,1,82651,1,1,4.773221202589232329009281,91,243,1,247710,1,
WikiData, > 75.0%, > 10,35737,1,1.899167801482826448781964,62758,1,84143,1,1,23640,1,1,3.919644104905203335351936,28,114,1,51098,1,
WikiData, > 75.0%, > 25,18087,1,1.862013929193267556587348,38499,1,52224,1,1,14683,1,1,3.923961229243369148696371,20,114,1,31548,1,
WikiData, > 75.0%, > 50,9919,1,1.856363239467365204103907,25512,1,34547,1,1,9920,1,1,3.862589445438282647584973,20,111,1,20804,1,
WikiData, > 75.0%, > 100,4855,1,1.846790427197494967568777,16514,1,22359,1,1,6596,1,1,3.771761133603238866396761,17,111,1,13417,1,
WikiData, > 75.0%, > 150,3487,1,1.817229178007621121393576,13353,1,18199,1,1,5279,1,1,3.837022981235504954670040,17,111,1,10851,1,
WikiData, > 75.0%, > 200,2873,1,1.812901205573821825583216,11579,1,15668,1,1,4519,1,1,3.839255084538103406027934,13,29,1,9281,1,
WikiData, > 75.0%, > 250,2408,1,1.804013146514443867842934,10429,1,14061,1,1,4010,1,1,3.870355078447563996696945,13,28,1,8280,1,
WikiData, > 75.0%, > 300,2144,1,1.792307692307692307692308,9553,1,12947,1,1,3682,1,1,3.882158920539730134932534,13,28,1,7617,1,
WikiData, > 75.0%, > 350,1947,1,1.786448880822746521476104,8859,1,12065,1,1,3405,1,1,3.899482870071105365223012,13,28,1,7106,1,
WikiData, > 75.0%, > 450,1677,1,1.764004499437570303712036,7841,1,10870,1,1,3012,1,1,3.942691331157054769677185,13,28,1,6425,1,
WikiData, > 75.0%, > 500,1588,1,1.756046020192533458558347,7479,1,10402,1,1,2891,1,1,3.937168811506434519303558,13,28,1,6143,1,
WikiData, > 75.0%, > 1000,0,1,1.895177361498605021921084,4755,-999,6406,1,0,1701,1,1,4.080254777070063694267516,13,24,-999,3897,1,
