Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,462740,NonLiteral
 > 25.0%, > 1,428344,Literal
 > 25.0%, > 10,104530,NonLiteral
 > 25.0%, > 10,92734,Literal
 > 25.0%, > 25,62525,NonLiteral
 > 25.0%, > 25,56071,Literal
 > 25.0%, > 50,40847,NonLiteral
 > 25.0%, > 50,36581,Literal
 > 25.0%, > 100,26653,NonLiteral
 > 25.0%, > 100,23640,Literal
 > 25.0%, > 150,21354,NonLiteral
 > 25.0%, > 150,18898,Literal
 > 25.0%, > 200,18360,NonLiteral
 > 25.0%, > 200,16099,Literal
 > 25.0%, > 250,16404,NonLiteral
 > 25.0%, > 250,14228,Literal
 > 25.0%, > 300,14902,NonLiteral
 > 25.0%, > 300,12911,Literal
 > 25.0%, > 350,13747,NonLiteral
 > 25.0%, > 350,11923,Literal
 > 25.0%, > 450,12115,NonLiteral
 > 25.0%, > 450,10611,Literal
 > 25.0%, > 500,11573,NonLiteral
 > 25.0%, > 500,10127,Literal
 > 25.0%, > 1000,7922,NonLiteral
 > 25.0%, > 1000,7064,Literal
 > 50.0%, > 1,298554,NonLiteral
 > 50.0%, > 1,295873,Literal
 > 50.0%, > 10,80321,NonLiteral
 > 50.0%, > 10,69604,Literal
 > 50.0%, > 25,49072,NonLiteral
 > 50.0%, > 25,42771,Literal
 > 50.0%, > 50,32497,NonLiteral
 > 50.0%, > 50,28074,Literal
 > 50.0%, > 100,21111,NonLiteral
 > 50.0%, > 100,18168,Literal
 > 50.0%, > 150,16953,NonLiteral
 > 50.0%, > 150,14542,Literal
 > 50.0%, > 200,14614,NonLiteral
 > 50.0%, > 200,12442,Literal
 > 50.0%, > 250,13086,NonLiteral
 > 50.0%, > 250,11052,Literal
 > 50.0%, > 300,11938,NonLiteral
 > 50.0%, > 300,10089,Literal
 > 50.0%, > 350,11052,NonLiteral
 > 50.0%, > 350,9350,Literal
 > 50.0%, > 450,9779,NonLiteral
 > 50.0%, > 450,8372,Literal
 > 50.0%, > 500,9315,NonLiteral
 > 50.0%, > 500,7974,Literal
 > 50.0%, > 1000,5842,NonLiteral
 > 50.0%, > 1000,5068,Literal
 > 90.0%, > 1,230004,NonLiteral
 > 90.0%, > 1,224494,Literal
 > 90.0%, > 10,50571,NonLiteral
 > 90.0%, > 10,37860,Literal
 > 90.0%, > 25,31127,NonLiteral
 > 90.0%, > 25,23269,Literal
 > 90.0%, > 50,20467,NonLiteral
 > 90.0%, > 50,15387,Literal
 > 90.0%, > 100,13105,NonLiteral
 > 90.0%, > 100,9843,Literal
 > 90.0%, > 150,10641,NonLiteral
 > 90.0%, > 150,7989,Literal
 > 90.0%, > 200,9358,NonLiteral
 > 90.0%, > 200,6925,Literal
 > 90.0%, > 250,8435,NonLiteral
 > 90.0%, > 250,6212,Literal
 > 90.0%, > 300,7780,NonLiteral
 > 90.0%, > 300,5732,Literal
 > 90.0%, > 350,7238,NonLiteral
 > 90.0%, > 350,5374,Literal
 > 90.0%, > 450,6410,NonLiteral
 > 90.0%, > 450,4911,Literal
 > 90.0%, > 500,6161,NonLiteral
 > 90.0%, > 500,4718,Literal
 > 90.0%, > 1000,3738,NonLiteral
 > 90.0%, > 1000,2799,Literal
 > 75.0%, > 1,253141,NonLiteral
 > 75.0%, > 1,247662,Literal
 > 75.0%, > 10,63410,NonLiteral
 > 75.0%, > 10,51050,Literal
 > 75.0%, > 25,38892,NonLiteral
 > 75.0%, > 25,31500,Literal
 > 75.0%, > 50,25778,NonLiteral
 > 75.0%, > 50,20756,Literal
 > 75.0%, > 100,16696,NonLiteral
 > 75.0%, > 100,13369,Literal
 > 75.0%, > 150,13516,NonLiteral
 > 75.0%, > 150,10803,Literal
 > 75.0%, > 200,11725,NonLiteral
 > 75.0%, > 200,9233,Literal
 > 75.0%, > 250,10556,NonLiteral
 > 75.0%, > 250,8232,Literal
 > 75.0%, > 300,9673,NonLiteral
 > 75.0%, > 300,7569,Literal
 > 75.0%, > 350,8972,NonLiteral
 > 75.0%, > 350,7058,Literal
 > 75.0%, > 450,7933,NonLiteral
 > 75.0%, > 450,6377,Literal
 > 75.0%, > 500,7567,NonLiteral
 > 75.0%, > 500,6095,Literal
 > 75.0%, > 1000,4658,NonLiteral
 > 75.0%, > 1000,3714,Literal
