Confidence,Support,NS,PS,NS_Samp,PS_Samp,Precision_NS,Recall_NS,Precision_PS,Recall_PS,MaxReservoirSize,TargetPercentage
-,-,82651,2051538,82651,1896826,1.00,1.00,1.00,0.92,500,100
0.25,1,82651,698825,82651,620622,1.00,1.00,1.00,0.89,500,100
0.25,10,23640,158283,23640,141040,1.00,1.00,0.99,0.88,500,100
0.25,25,14683,95333,14683,85450,1.00,1.00,0.98,0.88,500,100
0.25,50,9920,62038,9920,55963,1.00,1.00,0.98,0.88,500,100
0.25,100,6596,39877,6596,36362,1.00,1.00,0.96,0.88,500,100
0.25,150,5279,31926,5279,29350,1.00,1.00,0.95,0.88,500,100
0.25,200,4519,27252,4519,25580,1.00,1.00,0.93,0.87,500,100
0.25,250,4010,24139,4010,23332,1.00,1.00,0.90,0.87,500,100
0.25,300,3682,21912,3682,21882,1.00,1.00,0.87,0.87,500,100
0.25,350,3405,20209,3405,20867,1.00,1.00,0.84,0.87,500,100
0.25,450,3012,17864,3012,19720,1.00,1.00,0.79,0.87,500,100
0.25,500,2891,16960,2891,19406,1.00,1.00,0.76,0.87,500,100
0.25,1000,1701,10360,1701,12233,1.00,1.00,0.72,0.85,500,100
0.5,1,82651,483813,82651,431123,1.00,1.00,1.00,0.89,500,100
0.5,10,23640,121866,23640,109301,1.00,1.00,0.99,0.89,500,100
0.5,25,14683,74694,14683,67454,1.00,1.00,0.99,0.89,500,100
0.5,50,9920,48997,9920,44496,1.00,1.00,0.98,0.89,500,100
0.5,100,6596,31509,6596,28949,1.00,1.00,0.97,0.89,500,100
0.5,150,5279,25273,5279,23370,1.00,1.00,0.96,0.89,500,100
0.5,200,4519,21686,4519,20118,1.00,1.00,0.96,0.89,500,100
0.5,250,4010,19312,4010,17983,1.00,1.00,0.95,0.88,500,100
0.5,300,3682,17638,3682,16552,1.00,1.00,0.94,0.88,500,100
0.5,350,3405,16332,3405,15557,1.00,1.00,0.93,0.88,500,100
0.5,450,3012,14567,3012,14435,1.00,1.00,0.89,0.88,500,100
0.5,500,2891,13866,2891,14144,1.00,1.00,0.87,0.88,500,100
0.5,1000,1701,8395,1701,8793,1.00,1.00,0.82,0.86,500,100
0.9,1,82651,366045,82651,327721,1.00,1.00,1.00,0.89,500,100
0.9,10,23640,69951,23640,63802,1.00,1.00,0.99,0.90,500,100
0.9,25,14683,43196,14683,39706,1.00,1.00,0.99,0.91,500,100
0.9,50,9920,28371,9920,26265,1.00,1.00,0.98,0.91,500,100
0.9,100,6596,18028,6596,16891,1.00,1.00,0.97,0.91,500,100
0.9,150,5279,14690,5279,13834,1.00,1.00,0.96,0.91,500,100
0.9,200,4519,12806,4519,12106,1.00,1.00,0.96,0.91,500,100
0.9,250,4010,11542,4010,10931,1.00,1.00,0.95,0.90,500,100
0.9,300,3682,10668,3682,10125,1.00,1.00,0.95,0.90,500,100
0.9,350,3405,9987,3405,9495,1.00,1.00,0.95,0.90,500,100
0.9,450,3012,9045,3012,8639,1.00,1.00,0.94,0.90,500,100
0.9,500,2891,8702,2891,8393,1.00,1.00,0.93,0.90,500,100
0.9,1000,1701,5023,1701,4912,1.00,1.00,0.89,0.87,500,100
0.75,1,82651,405344,82651,362717,1.00,1.00,1.00,0.89,500,100
0.75,10,23640,91947,23640,83329,1.00,1.00,0.99,0.90,500,100
0.75,25,14683,56744,14683,51769,1.00,1.00,0.99,0.90,500,100
0.75,50,9920,37328,9920,34251,1.00,1.00,0.98,0.90,500,100
0.75,100,6596,23944,6596,22193,1.00,1.00,0.97,0.90,500,100
0.75,150,5279,19405,5279,18084,1.00,1.00,0.96,0.90,500,100
0.75,200,4519,16674,4519,15584,1.00,1.00,0.96,0.90,500,100
0.75,250,4010,14930,4010,13999,1.00,1.00,0.95,0.89,500,100
0.75,300,3682,13726,3682,12899,1.00,1.00,0.95,0.89,500,100
0.75,350,3405,12771,3405,12031,1.00,1.00,0.95,0.89,500,100
0.75,450,3012,11472,3012,10954,1.00,1.00,0.93,0.89,500,100
0.75,500,2891,10962,2891,10694,1.00,1.00,0.91,0.89,500,100
0.75,1000,1701,6495,1701,6442,1.00,1.00,0.87,0.87,500,100
