DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,294840,1,4.324393102671024456215485,1918517,1,1881493,1,1,82651,1,1,22.764310171685763027670567,533,1277,1,1003760,1,
WikiData, > 25.0%, > 1,294840,1,2.231039057524941625981745,420417,1,617349,1,1,82651,1,1,7.559437219895672617735655,150,298,1,428909,1,
WikiData, > 25.0%, > 10,33448,1,2.060197549705371147568782,97196,1,140477,1,1,23640,1,1,6.151558942021369767034507,59,185,1,93299,1,
WikiData, > 25.0%, > 25,16106,1,2.039921626255204506490326,58303,1,85217,1,1,14683,1,1,6.024957579185520361990950,40,185,1,56636,1,
WikiData, > 25.0%, > 50,8039,1,2.042373785889636033728253,38270,1,55884,1,1,9920,1,1,5.878813381022512097622554,40,185,1,37146,1,
WikiData, > 25.0%, > 100,3028,1,2.056557174611015065448259,24981,1,36352,1,1,6596,1,1,5.770158730158730158730159,24,134,1,24205,1,
WikiData, > 25.0%, > 500,0,1,2.064102564102564102564103,10465,-999,15684,1,0,2891,1,1,5.633620689655172413793103,21,70,-999,10614,1,
WikiData, > 25.0%, > 1000,0,1,2.117054751415984896161108,6728,-999,10038,1,0,1701,1,1,6.196296296296296296296296,21,70,-999,6860,1,
WikiData, > 50.0%, > 1,294840,1,2.073358782081264993889283,274832,1,428805,1,1,82651,1,1,5.342432472839629223562245,88,239,1,296251,1,
WikiData, > 50.0%, > 10,33448,1,1.946775396804980320530960,75677,1,108855,1,1,23640,1,1,4.795163208669221620192943,34,137,1,69982,1,
WikiData, > 50.0%, > 25,16106,1,1.924379513571843612517639,46366,1,67243,1,1,14683,1,1,4.781554433620137950650644,23,133,1,43149,1,
WikiData, > 50.0%, > 50,8039,1,1.931270399196585488325383,30769,1,44384,1,1,9920,1,1,4.691258852129796004650671,23,133,1,28452,1,
WikiData, > 50.0%, > 100,3028,1,1.934041525832930951231289,20027,1,28901,1,1,6596,1,1,4.609409888357256778309410,23,133,1,18546,1,
WikiData, > 50.0%, > 500,0,1,1.920848540145985401459854,8421,-999,12741,1,0,2891,1,1,4.597979068928184770840852,14,47,-999,8357,1,
WikiData, > 50.0%, > 1000,0,1,1.995618838992332968236583,5466,-999,8078,1,0,1701,1,1,5.004956629491945477075589,14,47,-999,5339,1,
WikiData, > 90.0%, > 1,294840,1,2.100465504064475786840825,211624,1,325434,1,1,82651,1,1,4.492090660629986472683102,88,239,1,224683,1,
WikiData, > 90.0%, > 10,33448,1,1.901160480089023130116843,47837,1,63211,1,1,23640,1,1,3.346090731035943041660050,20,110,1,38049,1,
WikiData, > 90.0%, > 25,16106,1,1.860482797947158334917316,29364,1,39241,1,1,14683,1,1,3.358811948985705726268938,20,91,1,23458,1,
WikiData, > 90.0%, > 50,8039,1,1.866822429906542056074766,19176,1,25848,1,1,9920,1,1,3.296097934200459066564652,20,80,1,15576,1,
WikiData, > 90.0%, > 100,3028,1,1.883016535311389275227940,12185,1,16503,1,1,6596,1,1,3.166954519286125503742084,13,80,1,10032,1,
WikiData, > 90.0%, > 500,0,1,1.815746488075792224763149,5558,-999,7971,1,0,2891,1,1,3.335146443514644351464435,13,23,-999,4910,1,
WikiData, > 90.0%, > 1000,0,1,1.906299629433562731604023,3601,-999,4888,1,0,1701,1,1,3.503942652329749103942652,13,23,-999,2999,1,
WikiData, > 75.0%, > 1,294840,1,2.072809718611069206946429,233587,1,360619,1,1,82651,1,1,4.690368732522598686349743,88,239,1,247928,1,
WikiData, > 75.0%, > 10,33448,1,1.898828137338513534855807,60115,1,82975,1,1,23640,1,1,3.867036398378151652141492,28,111,1,51316,1,
WikiData, > 75.0%, > 25,16106,1,1.864499192245557350565428,36932,1,51574,1,1,14683,1,1,3.876578472639807576668671,20,111,1,31766,1,
WikiData, > 75.0%, > 50,8039,1,1.867333689757885893225388,24449,1,34115,1,1,9920,1,1,3.816849407026180353546655,20,106,1,21022,1,
WikiData, > 75.0%, > 100,3028,1,1.870880094506792675723568,15837,1,22100,1,1,6596,1,1,3.732477622023306873838879,17,106,1,13635,1,
WikiData, > 75.0%, > 500,0,1,1.846693657219973009446694,6842,-999,10066,1,0,2891,1,1,3.812878787878787878787879,13,31,-999,6361,1,
WikiData, > 75.0%, > 1000,0,1,1.923511516731855714906562,4426,-999,6251,1,0,1701,1,1,4.072312703583061889250814,13,25,-999,3950,1,
