DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,72927,1,3.365162121789051287308515,114890,1,202085,1,1,13227,1,1,15.278218794889241702578060,2099,452,1,106599,5,
WikiData, > 25.0%, > 1,72927,1,2.051542671558308774884224,34111,1,100613,1,1,13227,1,1,7.606637937551977016708248,46,65,1,83986,3,
WikiData, > 25.0%, > 10,11223,1,1.991337491337491337491337,5747,1,18322,1,1,2822,1,1,6.492558469170800850460666,12,41,1,15436,3,
WikiData, > 25.0%, > 25,5945,1,2.023081361800346220427005,3506,1,10149,1,1,1614,1,1,6.288104089219330855018587,10,39,1,8416,3,
WikiData, > 25.0%, > 50,3643,1,2.095782073813708260105448,2385,1,6465,1,1,1054,1,1,6.133776091081593927893738,10,26,1,5327,3,
WikiData, > 25.0%, > 100,2329,1,2.037135278514588859416446,1536,1,4213,1,1,704,1,1,5.984375,10,18,1,3459,3,
WikiData, > 25.0%, > 150,1795,1,2.131534569983136593591906,1264,1,3278,1,1,555,1,1,5.906306306306306306306306,10,18,1,2685,3,
WikiData, > 25.0%, > 200,1564,1,2.091451292246520874751491,1052,1,2820,1,1,488,1,1,5.790554414784394250513347,10,18,1,2317,3,
WikiData, > 25.0%, > 250,1339,1,2.042056074766355140186916,874,1,2411,1,1,422,1,1,5.726840855106888361045131,10,18,1,1983,3,
WikiData, > 25.0%, > 300,1141,1,2.034946236559139784946237,757,1,2095,1,1,365,1,1,5.755494505494505494505495,10,18,1,1723,3,
WikiData, > 25.0%, > 350,1026,1,1.978915662650602409638554,657,1,1903,1,1,332,1,1,5.749244712990936555891239,10,18,1,1571,3,
WikiData, > 25.0%, > 450,848,1,2.041825095057034220532319,537,1,1591,1,1,279,1,1,5.723021582733812949640288,10,18,1,1328,3,
WikiData, > 25.0%, > 500,785,1,2.053061224489795918367347,503,1,1493,1,1,261,1,1,5.720306513409961685823755,10,18,1,1248,3,
WikiData, > 25.0%, > 1000,472,1,2.148648648648648648648649,318,1,945,1,1,165,1,1,5.762195121951219512195122,10,18,1,797,3,
