Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,34111,NonLiteral
 > 25.0%, > 1,83986,Literal
 > 25.0%, > 10,5747,NonLiteral
 > 25.0%, > 10,15436,Literal
 > 25.0%, > 25,3506,NonLiteral
 > 25.0%, > 25,8416,Literal
 > 25.0%, > 50,2385,NonLiteral
 > 25.0%, > 50,5327,Literal
 > 25.0%, > 100,1536,NonLiteral
 > 25.0%, > 100,3459,Literal
 > 25.0%, > 150,1264,NonLiteral
 > 25.0%, > 150,2685,Literal
 > 25.0%, > 200,1052,NonLiteral
 > 25.0%, > 200,2317,Literal
 > 25.0%, > 250,874,NonLiteral
 > 25.0%, > 250,1983,Literal
 > 25.0%, > 300,757,NonLiteral
 > 25.0%, > 300,1723,Literal
 > 25.0%, > 350,657,NonLiteral
 > 25.0%, > 350,1571,Literal
 > 25.0%, > 450,537,NonLiteral
 > 25.0%, > 450,1328,Literal
 > 25.0%, > 500,503,NonLiteral
 > 25.0%, > 500,1248,Literal
 > 25.0%, > 1000,318,NonLiteral
 > 25.0%, > 1000,797,Literal
 > 50.0%, > 1,22161,NonLiteral
 > 50.0%, > 1,72662,Literal
 > 50.0%, > 10,4258,NonLiteral
 > 50.0%, > 10,13831,Literal
 > 50.0%, > 25,2585,NonLiteral
 > 50.0%, > 25,7547,Literal
 > 50.0%, > 50,1764,NonLiteral
 > 50.0%, > 50,4761,Literal
 > 50.0%, > 100,1131,NonLiteral
 > 50.0%, > 100,3081,Literal
 > 50.0%, > 150,917,NonLiteral
 > 50.0%, > 150,2411,Literal
 > 50.0%, > 200,766,NonLiteral
 > 50.0%, > 200,2097,Literal
 > 50.0%, > 250,643,NonLiteral
 > 50.0%, > 250,1804,Literal
 > 50.0%, > 300,550,NonLiteral
 > 50.0%, > 300,1567,Literal
 > 50.0%, > 350,481,NonLiteral
 > 50.0%, > 350,1427,Literal
 > 50.0%, > 450,391,NonLiteral
 > 50.0%, > 450,1211,Literal
 > 50.0%, > 500,367,NonLiteral
 > 50.0%, > 500,1136,Literal
 > 50.0%, > 1000,231,NonLiteral
 > 50.0%, > 1000,730,Literal
 > 90.0%, > 1,18443,NonLiteral
 > 90.0%, > 1,65679,Literal
 > 90.0%, > 10,2832,NonLiteral
 > 90.0%, > 10,11435,Literal
 > 90.0%, > 25,1735,NonLiteral
 > 90.0%, > 25,6276,Literal
 > 90.0%, > 50,1157,NonLiteral
 > 90.0%, > 50,3952,Literal
 > 90.0%, > 100,747,NonLiteral
 > 90.0%, > 100,2599,Literal
 > 90.0%, > 150,605,NonLiteral
 > 90.0%, > 150,2040,Literal
 > 90.0%, > 200,518,NonLiteral
 > 90.0%, > 200,1798,Literal
 > 90.0%, > 250,426,NonLiteral
 > 90.0%, > 250,1559,Literal
 > 90.0%, > 300,359,NonLiteral
 > 90.0%, > 300,1348,Literal
 > 90.0%, > 350,321,NonLiteral
 > 90.0%, > 350,1227,Literal
 > 90.0%, > 450,259,NonLiteral
 > 90.0%, > 450,1038,Literal
 > 90.0%, > 500,239,NonLiteral
 > 90.0%, > 500,971,Literal
 > 90.0%, > 1000,153,NonLiteral
 > 90.0%, > 1000,620,Literal
 > 75.0%, > 1,19570,NonLiteral
 > 75.0%, > 1,67733,Literal
 > 75.0%, > 10,3421,NonLiteral
 > 75.0%, > 10,12342,Literal
 > 75.0%, > 25,2080,NonLiteral
 > 75.0%, > 25,6730,Literal
 > 75.0%, > 50,1405,NonLiteral
 > 75.0%, > 50,4237,Literal
 > 75.0%, > 100,897,NonLiteral
 > 75.0%, > 100,2763,Literal
 > 75.0%, > 150,719,NonLiteral
 > 75.0%, > 150,2163,Literal
 > 75.0%, > 200,609,NonLiteral
 > 75.0%, > 200,1897,Literal
 > 75.0%, > 250,498,NonLiteral
 > 75.0%, > 250,1640,Literal
 > 75.0%, > 300,419,NonLiteral
 > 75.0%, > 300,1423,Literal
 > 75.0%, > 350,378,NonLiteral
 > 75.0%, > 350,1297,Literal
 > 75.0%, > 450,301,NonLiteral
 > 75.0%, > 450,1099,Literal
 > 75.0%, > 500,281,NonLiteral
 > 75.0%, > 500,1029,Literal
 > 75.0%, > 1000,175,NonLiteral
 > 75.0%, > 1000,660,Literal
