DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,301887,1,4.703641750599570525593873,2249559,1,1932695,1,1,82651,1,1,23.383806608510483841695805,1164,1611,1,1036061,1,
WikiData, > 25.0%, > 1,301887,1,2.247619955258168393808373,448099,1,627844,1,1,82651,1,1,7.685595720458802071219596,154,300,1,428478,1,
WikiData, > 25.0%, > 10,35639,1,2.058969496449322143318270,102059,1,142436,1,1,23640,1,1,6.235979160281949126570641,60,186,1,92868,1,
WikiData, > 25.0%, > 25,18009,1,2.036990051412165320157575,61016,1,86159,1,1,14683,1,1,6.089836019225332202431439,40,186,1,56205,1,
WikiData, > 25.0%, > 50,9851,1,2.030244399185336048879837,39874,1,56355,1,1,9920,1,1,5.924621530698065601345669,40,186,1,36715,1,
WikiData, > 25.0%, > 100,4792,1,2.032129455909943714821764,25995,1,36566,1,1,6596,1,1,5.796766011414077362079899,24,138,1,23774,1,
WikiData, > 25.0%, > 500,1526,1,1.957264957264957264957265,11221,1,15920,1,1,2891,1,1,5.714285714285714285714286,21,67,1,10187,1,
WikiData, > 25.0%, > 1000,0,1,2.076044484520589119326721,6907,-999,9839,1,0,1701,1,1,6.051045510455104551045510,21,67,-999,6512,1,
WikiData, > 50.0%, > 1,301887,1,2.077545361642523815308974,290713,1,435905,1,1,82651,1,1,5.428117800884129257206899,91,243,1,295974,1,
WikiData, > 50.0%, > 10,35639,1,1.944855479925027128341718,78860,1,110253,1,1,23640,1,1,4.854607899255867200915856,34,140,1,69705,1,
WikiData, > 50.0%, > 25,18009,1,1.922141119221411192214112,48190,1,67943,1,1,14683,1,1,4.828240477544059124502558,23,137,1,42872,1,
WikiData, > 50.0%, > 50,9851,1,1.923920245768327209204265,31939,1,44776,1,1,9920,1,1,4.727695069158483792630134,23,137,1,28175,1,
WikiData, > 50.0%, > 100,4792,1,1.918131359851988899167438,20735,1,29079,1,1,6596,1,1,4.628939828080229226361032,23,137,1,18269,1,
WikiData, > 50.0%, > 500,1526,1,1.834744054816606207174526,9104,1,13034,1,1,2891,1,1,4.693554195174648901692474,14,45,1,8072,1,
WikiData, > 50.0%, > 1000,0,1,1.976474719101123595505618,5629,-999,7937,1,0,1701,1,1,4.899382716049382716049383,14,45,-999,5089,1,
WikiData, > 90.0%, > 1,301887,1,2.099110736684451932977628,224248,1,331391,1,1,82651,1,1,4.572234716262641592737207,91,243,1,224561,1,
WikiData, > 90.0%, > 10,35639,1,1.892384670785792805428149,49923,1,64308,1,1,23640,1,1,3.405602923264311814859927,20,113,1,37927,1,
WikiData, > 90.0%, > 25,18009,1,1.844517873235205767497747,30702,1,39981,1,1,14683,1,1,3.425670465255762145488818,20,95,1,23336,1,
WikiData, > 90.0%, > 50,9851,1,1.833378808549340609367894,20158,1,26449,1,1,9920,1,1,3.377474141233558932447963,20,84,1,15454,1,
WikiData, > 90.0%, > 100,4792,1,1.819144430326132994493859,12885,1,16993,1,1,6596,1,1,3.268513175610694364300827,13,84,1,9910,1,
WikiData, > 90.0%, > 500,1526,1,1.707144874329285512567071,6045,1,8326,1,1,2891,1,1,3.511598481653310839308309,13,23,1,4785,1,
WikiData, > 90.0%, > 1000,0,1,1.873268342739866598255516,3651,-999,4817,1,0,1701,1,1,3.490579710144927536231884,13,23,-999,2868,1,
WikiData, > 75.0%, > 1,301887,1,2.076116566893118988363490,246925,1,366660,1,1,82651,1,1,4.766336916817242320641647,91,243,1,247724,1,
WikiData, > 75.0%, > 10,35639,1,1.899280357088634500349194,62549,1,84045,1,1,23640,1,1,3.916173524066912073062765,28,114,1,51112,1,
WikiData, > 75.0%, > 25,18009,1,1.861779545895594799146128,38375,1,52174,1,1,14683,1,1,3.921972487408855145455912,20,114,1,31562,1,
WikiData, > 75.0%, > 50,9851,1,1.856120884736112124972626,25427,1,34517,1,1,9920,1,1,3.861825911837100022376371,20,111,1,20818,1,
WikiData, > 75.0%, > 100,4792,1,1.846421359658963428315010,16459,1,22345,1,1,6596,1,1,3.773218507261060452549814,17,111,1,13431,1,
WikiData, > 75.0%, > 500,1526,1,1.755833136931416450624558,7450,1,10400,1,1,2891,1,1,3.945371775417298937784522,13,28,1,6157,1,
WikiData, > 75.0%, > 1000,0,1,1.899002493765586034912718,4569,-999,6175,1,0,1701,1,1,4.020182291666666666666667,13,24,-999,3769,1,
