Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,448099,NonLiteral
 > 25.0%, > 1,428478,Literal
 > 25.0%, > 10,102059,NonLiteral
 > 25.0%, > 10,92868,Literal
 > 25.0%, > 25,61016,NonLiteral
 > 25.0%, > 25,56205,Literal
 > 25.0%, > 50,39874,NonLiteral
 > 25.0%, > 50,36715,Literal
 > 25.0%, > 100,25995,NonLiteral
 > 25.0%, > 100,23774,Literal
 > 25.0%, > 500,11221,NonLiteral
 > 25.0%, > 500,10187,Literal
 > 25.0%, > 1000,6907,NonLiteral
 > 25.0%, > 1000,6512,Literal
 > 50.0%, > 1,290713,NonLiteral
 > 50.0%, > 1,295974,Literal
 > 50.0%, > 10,78860,NonLiteral
 > 50.0%, > 10,69705,Literal
 > 50.0%, > 25,48190,NonLiteral
 > 50.0%, > 25,42872,Literal
 > 50.0%, > 50,31939,NonLiteral
 > 50.0%, > 50,28175,Literal
 > 50.0%, > 100,20735,NonLiteral
 > 50.0%, > 100,18269,Literal
 > 50.0%, > 500,9104,NonLiteral
 > 50.0%, > 500,8072,Literal
 > 50.0%, > 1000,5629,NonLiteral
 > 50.0%, > 1000,5089,Literal
 > 90.0%, > 1,224248,NonLiteral
 > 90.0%, > 1,224561,Literal
 > 90.0%, > 10,49923,NonLiteral
 > 90.0%, > 10,37927,Literal
 > 90.0%, > 25,30702,NonLiteral
 > 90.0%, > 25,23336,Literal
 > 90.0%, > 50,20158,NonLiteral
 > 90.0%, > 50,15454,Literal
 > 90.0%, > 100,12885,NonLiteral
 > 90.0%, > 100,9910,Literal
 > 90.0%, > 500,6045,NonLiteral
 > 90.0%, > 500,4785,Literal
 > 90.0%, > 1000,3651,NonLiteral
 > 90.0%, > 1000,2868,Literal
 > 75.0%, > 1,246925,NonLiteral
 > 75.0%, > 1,247724,Literal
 > 75.0%, > 10,62549,NonLiteral
 > 75.0%, > 10,51112,Literal
 > 75.0%, > 25,38375,NonLiteral
 > 75.0%, > 25,31562,Literal
 > 75.0%, > 50,25427,NonLiteral
 > 75.0%, > 50,20818,Literal
 > 75.0%, > 100,16459,NonLiteral
 > 75.0%, > 100,13431,Literal
 > 75.0%, > 500,7450,NonLiteral
 > 75.0%, > 500,6157,Literal
 > 75.0%, > 1000,4569,NonLiteral
 > 75.0%, > 1000,3769,Literal
