Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,451067,NonLiteral
 > 25.0%, > 1,428469,Literal
 > 25.0%, > 10,102556,NonLiteral
 > 25.0%, > 10,92859,Literal
 > 25.0%, > 25,61319,NonLiteral
 > 25.0%, > 25,56196,Literal
 > 25.0%, > 50,40088,NonLiteral
 > 25.0%, > 50,36706,Literal
 > 25.0%, > 100,26129,NonLiteral
 > 25.0%, > 100,23765,Literal
 > 25.0%, > 150,20978,NonLiteral
 > 25.0%, > 150,19023,Literal
 > 25.0%, > 200,18034,NonLiteral
 > 25.0%, > 200,16225,Literal
 > 25.0%, > 250,16118,NonLiteral
 > 25.0%, > 250,14356,Literal
 > 25.0%, > 300,14686,NonLiteral
 > 25.0%, > 300,13078,Literal
 > 25.0%, > 350,13654,NonLiteral
 > 25.0%, > 350,12165,Literal
 > 25.0%, > 450,12286,NonLiteral
 > 25.0%, > 450,11022,Literal
 > 25.0%, > 500,11814,NonLiteral
 > 25.0%, > 500,10606,Literal
 > 25.0%, > 1000,8826,NonLiteral
 > 25.0%, > 1000,8054,Literal
 > 50.0%, > 1,292263,NonLiteral
 > 50.0%, > 1,295968,Literal
 > 50.0%, > 10,79140,NonLiteral
 > 50.0%, > 10,69699,Literal
 > 50.0%, > 25,48356,NonLiteral
 > 50.0%, > 25,42866,Literal
 > 50.0%, > 50,32040,NonLiteral
 > 50.0%, > 50,28169,Literal
 > 50.0%, > 100,20793,NonLiteral
 > 50.0%, > 100,18263,Literal
 > 50.0%, > 150,16662,NonLiteral
 > 50.0%, > 150,14637,Literal
 > 50.0%, > 200,14350,NonLiteral
 > 50.0%, > 200,12537,Literal
 > 50.0%, > 250,12844,NonLiteral
 > 50.0%, > 250,11147,Literal
 > 50.0%, > 300,11705,NonLiteral
 > 50.0%, > 300,10184,Literal
 > 50.0%, > 350,10829,NonLiteral
 > 50.0%, > 350,9445,Literal
 > 50.0%, > 450,9589,NonLiteral
 > 50.0%, > 450,8467,Literal
 > 50.0%, > 500,9132,NonLiteral
 > 50.0%, > 500,8069,Literal
 > 50.0%, > 1000,6159,NonLiteral
 > 50.0%, > 1000,5582,Literal
 > 90.0%, > 1,225401,NonLiteral
 > 90.0%, > 1,224544,Literal
 > 90.0%, > 10,50059,NonLiteral
 > 90.0%, > 10,37910,Literal
 > 90.0%, > 25,30787,NonLiteral
 > 90.0%, > 25,23319,Literal
 > 90.0%, > 50,20220,NonLiteral
 > 90.0%, > 50,15437,Literal
 > 90.0%, > 100,12928,NonLiteral
 > 90.0%, > 100,9893,Literal
 > 90.0%, > 150,10485,NonLiteral
 > 90.0%, > 150,8039,Literal
 > 90.0%, > 200,9215,NonLiteral
 > 90.0%, > 200,6975,Literal
 > 90.0%, > 250,8309,NonLiteral
 > 90.0%, > 250,6262,Literal
 > 90.0%, > 300,7663,NonLiteral
 > 90.0%, > 300,5782,Literal
 > 90.0%, > 350,7129,NonLiteral
 > 90.0%, > 350,5424,Literal
 > 90.0%, > 450,6319,NonLiteral
 > 90.0%, > 450,4961,Literal
 > 90.0%, > 500,6074,NonLiteral
 > 90.0%, > 500,4768,Literal
 > 90.0%, > 1000,3715,NonLiteral
 > 90.0%, > 1000,2884,Literal
 > 75.0%, > 1,248196,NonLiteral
 > 75.0%, > 1,247710,Literal
 > 75.0%, > 10,62758,NonLiteral
 > 75.0%, > 10,51098,Literal
 > 75.0%, > 25,38499,NonLiteral
 > 75.0%, > 25,31548,Literal
 > 75.0%, > 50,25512,NonLiteral
 > 75.0%, > 50,20804,Literal
 > 75.0%, > 100,16514,NonLiteral
 > 75.0%, > 100,13417,Literal
 > 75.0%, > 150,13353,NonLiteral
 > 75.0%, > 150,10851,Literal
 > 75.0%, > 200,11579,NonLiteral
 > 75.0%, > 200,9281,Literal
 > 75.0%, > 250,10429,NonLiteral
 > 75.0%, > 250,8280,Literal
 > 75.0%, > 300,9553,NonLiteral
 > 75.0%, > 300,7617,Literal
 > 75.0%, > 350,8859,NonLiteral
 > 75.0%, > 350,7106,Literal
 > 75.0%, > 450,7841,NonLiteral
 > 75.0%, > 450,6425,Literal
 > 75.0%, > 500,7479,NonLiteral
 > 75.0%, > 500,6143,Literal
 > 75.0%, > 1000,4755,NonLiteral
 > 75.0%, > 1000,3897,Literal
