Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,420417,NonLiteral
 > 25.0%, > 1,428909,Literal
 > 25.0%, > 10,97196,NonLiteral
 > 25.0%, > 10,93299,Literal
 > 25.0%, > 25,58303,NonLiteral
 > 25.0%, > 25,56636,Literal
 > 25.0%, > 50,38270,NonLiteral
 > 25.0%, > 50,37146,Literal
 > 25.0%, > 100,24981,NonLiteral
 > 25.0%, > 100,24205,Literal
 > 25.0%, > 500,10465,NonLiteral
 > 25.0%, > 500,10614,Literal
 > 25.0%, > 1000,6728,NonLiteral
 > 25.0%, > 1000,6860,Literal
 > 50.0%, > 1,274832,NonLiteral
 > 50.0%, > 1,296251,Literal
 > 50.0%, > 10,75677,NonLiteral
 > 50.0%, > 10,69982,Literal
 > 50.0%, > 25,46366,NonLiteral
 > 50.0%, > 25,43149,Literal
 > 50.0%, > 50,30769,NonLiteral
 > 50.0%, > 50,28452,Literal
 > 50.0%, > 100,20027,NonLiteral
 > 50.0%, > 100,18546,Literal
 > 50.0%, > 500,8421,NonLiteral
 > 50.0%, > 500,8357,Literal
 > 50.0%, > 1000,5466,NonLiteral
 > 50.0%, > 1000,5339,Literal
 > 90.0%, > 1,211624,NonLiteral
 > 90.0%, > 1,224683,Literal
 > 90.0%, > 10,47837,NonLiteral
 > 90.0%, > 10,38049,Literal
 > 90.0%, > 25,29364,NonLiteral
 > 90.0%, > 25,23458,Literal
 > 90.0%, > 50,19176,NonLiteral
 > 90.0%, > 50,15576,Literal
 > 90.0%, > 100,12185,NonLiteral
 > 90.0%, > 100,10032,Literal
 > 90.0%, > 500,5558,NonLiteral
 > 90.0%, > 500,4910,Literal
 > 90.0%, > 1000,3601,NonLiteral
 > 90.0%, > 1000,2999,Literal
 > 75.0%, > 1,233587,NonLiteral
 > 75.0%, > 1,247928,Literal
 > 75.0%, > 10,60115,NonLiteral
 > 75.0%, > 10,51316,Literal
 > 75.0%, > 25,36932,NonLiteral
 > 75.0%, > 25,31766,Literal
 > 75.0%, > 50,24449,NonLiteral
 > 75.0%, > 50,21022,Literal
 > 75.0%, > 100,15837,NonLiteral
 > 75.0%, > 100,13635,Literal
 > 75.0%, > 500,6842,NonLiteral
 > 75.0%, > 500,6361,Literal
 > 75.0%, > 1000,4426,NonLiteral
 > 75.0%, > 1000,3950,Literal
