DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,157592,1,3.262615983638007600452424,977868,1,1572641,1,1,82651,1,1,19.027489080591886365561215,328,918,1,824161,1,
WikiData, > 25.0%, > 1,157592,1,1.894232780516958015837442,253562,1,536850,1,1,82651,1,1,6.612511855346299284368187,133,238,1,402989,1,
WikiData, > 25.0%, > 10,0,1,1.823785788802596499362467,78669,-999,159040,1,0,23640,1,1,6.773712679415648025895481,133,189,-999,115905,1,
WikiData, > 25.0%, > 25,0,1,1.809468036874716638960254,47893,-999,97657,1,0,14683,1,1,6.711821305841924398625430,63,178,-999,71189,1,
WikiData, > 25.0%, > 50,0,1,1.821436848203939745075319,31438,-999,64788,1,0,9920,1,1,6.600244498777506112469438,33,178,-999,47528,1,
WikiData, > 25.0%, > 100,0,1,1.831374643874643874643875,20570,-999,43012,1,0,6596,1,1,6.590867300030646644192461,33,178,-999,31780,1,
WikiData, > 25.0%, > 150,0,1,1.831942125765164162493044,16460,-999,34900,1,0,5279,1,1,6.670489296636085626911315,33,178,-999,25915,1,
WikiData, > 25.0%, > 200,0,1,1.821141374837872892347601,14041,-999,29965,1,0,4519,1,1,6.687123409953135460834635,33,178,-999,22255,1,
WikiData, > 25.0%, > 250,0,1,1.817378497790868924889543,12340,-999,26493,1,0,4010,1,1,6.663229376257545271629779,17,69,-999,19703,1,
WikiData, > 25.0%, > 300,0,1,1.822276029055690072639225,11289,-999,24243,1,0,3682,1,1,6.641917808219178082191781,17,69,-999,18048,1,
WikiData, > 25.0%, > 350,0,1,1.825813221406086044071354,10440,-999,22498,1,0,3405,1,1,6.664099526066350710900474,17,69,-999,16780,1,
WikiData, > 25.0%, > 450,0,1,1.828486055776892430278884,9179,-999,19956,1,0,3012,1,1,6.687667560321715817694370,17,69,-999,14936,1,
WikiData, > 25.0%, > 500,0,1,1.825525713095981678117843,8768,-999,19105,1,0,2891,1,1,6.673070206077541040866224,17,69,-999,14302,1,
WikiData, > 25.0%, > 1000,0,1,1.898939695162359178263751,5731,-999,12551,1,0,1701,1,1,7.453087885985748218527316,17,68,-999,9533,1,
WikiData, > 50.0%, > 1,157592,1,1.824160347706054077245213,195581,1,435841,1,1,82651,1,1,5.419492421133783464517974,68,228,1,328624,1,
WikiData, > 50.0%, > 10,0,1,1.671669229226552577043920,50013,-999,106487,1,0,23640,1,1,4.604245935662400553441716,46,158,-999,76569,1,
WikiData, > 50.0%, > 25,0,1,1.647818890490682898179294,30862,-999,66644,1,0,14683,1,1,4.649040809208231600976631,20,124,-999,47915,1,
WikiData, > 50.0%, > 50,0,1,1.655074807925596441568945,20465,-999,44536,1,0,9920,1,1,4.612739513205592957017090,18,124,-999,32171,1,
WikiData, > 50.0%, > 100,0,1,1.670302118590948978312649,13324,-999,29150,1,0,6596,1,1,4.534847542003733665214686,18,124,-999,21173,1,
WikiData, > 50.0%, > 150,0,1,1.658155369854534199938100,10715,-999,23808,1,0,5279,1,1,4.604138464513633726551924,18,124,-999,17346,1,
WikiData, > 50.0%, > 200,0,1,1.650205761316872427983539,9223,-999,20567,1,0,4519,1,1,4.641615888061385691717445,18,124,-999,14978,1,
WikiData, > 50.0%, > 250,0,1,1.640136327185244587008821,8181,-999,18300,1,0,4010,1,1,4.657673708322728429625859,10,44,-999,13312,1,
WikiData, > 50.0%, > 300,0,1,1.635810517166449369839200,7528,-999,16845,1,0,3682,1,1,4.673973362930077691453940,10,44,-999,12243,1,
WikiData, > 50.0%, > 350,0,1,1.633098591549295774647887,6957,-999,15688,1,0,3405,1,1,4.704047976011994002998501,10,44,-999,11428,1,
WikiData, > 50.0%, > 450,0,1,1.624966728772957146659569,6105,-999,13978,1,0,3012,1,1,4.739911834520176330959647,10,44,-999,10221,1,
WikiData, > 50.0%, > 500,0,1,1.622918978912319644839068,5849,-999,13394,1,0,2891,1,1,4.732862190812720848056537,10,44,-999,9790,1,
WikiData, > 50.0%, > 1000,0,1,1.665475658776239392585976,3729,-999,8697,1,0,1701,1,1,5.232851985559566787003610,10,44,-999,6458,1,
WikiData, > 90.0%, > 1,157592,1,1.871865533969526499191473,164376,1,364749,1,1,82651,1,1,4.955290185849364199543528,68,228,1,276935,1,
WikiData, > 90.0%, > 10,0,1,1.766084247595828254097250,26078,-999,52990,1,0,23640,1,1,2.984511405237961137707688,12,91,-999,38224,1,
WikiData, > 90.0%, > 25,0,1,1.699004209013448311261677,16550,-999,33743,1,0,14683,1,1,3.081833957439035528358754,12,84,-999,24002,1,
WikiData, > 90.0%, > 50,0,1,1.660888888888888888888889,11211,-999,22829,1,0,9920,1,1,3.137144427648756355641061,12,75,-999,16079,1,
WikiData, > 90.0%, > 100,0,1,1.680335507921714818266542,7212,-999,14803,1,0,6596,1,1,3.064803312629399585921325,10,75,-999,10511,1,
WikiData, > 90.0%, > 150,0,1,1.652051714446318156267566,5878,-999,12226,1,0,5279,1,1,3.126054717463564305804142,10,75,-999,8668,1,
WikiData, > 90.0%, > 200,0,1,1.639608338597599494630449,5191,-999,10817,1,0,4519,1,1,3.188034188034188034188034,10,75,-999,7651,1,
