DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
YAGO, > 1.0%, > 1.0,22755,1,7.096281704013789706968727,86454,1,75384,1,1,8897,1.071001093974559728865913,3,8.472968416320107901539845,211,71,1,49929,1,
YAGO, > 25.0%, > 1,22755,1,1.565217391304347826086957,4140,1,40919,1,1,8897,1.005512880806814025186811,3,4.601259417519397278758574,9,12,1,38485,2,
YAGO, > 25.0%, > 10,12929,1,1.497557003257328990228013,1839,1,23498,1,1,5675,1.003098338572070049393803,3,4.142806770098730606488011,9,10,1,22339,2,
YAGO, > 25.0%, > 25,6920,1,1.463648834019204389574760,1067,1,13606,1,1,3352,1.003183971421915042323523,2,4.062705285159749178859361,9,10,1,12918,2,
YAGO, > 25.0%, > 50,4006,1,1.428007889546351084812623,724,1,8635,1,1,2120,1.002706692913385826771654,2,4.078885214926783183750590,9,10,1,8150,2,
YAGO, > 25.0%, > 100,2200,1,1.429333333333333333333333,536,1,5533,1,1,1333,1.001938735944164404808065,2,4.160150375939849624060150,5,10,1,5168,2,
YAGO, > 25.0%, > 500,357,1,1.429447852760736196319018,233,1,2114,1,1,495,1.003075345976422347514095,2,4.270707070707070707070707,5,9,1,1957,2,
YAGO, > 25.0%, > 1000,0,1,1.463768115942028985507246,202,-999,1573,1,0,328,1.004181184668989547038328,2,4.795731707317073170731707,4,9,-999,1441,2,
YAGO, > 50.0%, > 1,22755,1,1.458146487294469357249626,1951,1,34819,1,1,8897,1.000059735372300707864162,2,3.915326661419093669178005,9,10,1,33483,2,
YAGO, > 50.0%, > 10,12929,1,1.415519399249061326658323,1131,1,21249,1,1,5675,1.000097799511002444987775,2,3.746297602256699576868829,7,9,1,20452,2,
YAGO, > 50.0%, > 25,6920,1,1.344398340248962655601660,648,1,12271,1,1,3352,1.000169649673424378658071,2,3.664078829501343684681995,5,9,1,11791,2,
YAGO, > 50.0%, > 50,4006,1,1.293051359516616314199396,428,1,7731,1,1,2120,1,1,3.651865847897968823807274,5,9,1,7400,2,
YAGO, > 50.0%, > 100,2200,1,1.279835390946502057613169,311,1,4887,1,1,1333,1,1,3.674436090225563909774436,5,9,1,4644,2,
YAGO, > 50.0%, > 500,357,1,1.218390804597701149425287,106,1,1793,1,1,495,1,1,3.622222222222222222222222,5,8,1,1706,2,
YAGO, > 50.0%, > 1000,0,1,1.209677419354838709677419,75,-999,1259,1,0,328,1,1,3.838414634146341463414634,2,8,-999,1197,2,
YAGO, > 90.0%, > 1,22755,1,1.458856345885634588563459,1046,1,25705,1,1,8897,1,1,2.891451068616422947131609,9,10,1,24988,1,
YAGO, > 90.0%, > 10,12929,1,1.349765258215962441314554,575,1,15762,1,1,5675,1,1,2.780384547539248544716881,5,8,1,15336,1,
YAGO, > 90.0%, > 25,6920,1,1.263374485596707818930041,307,1,9109,1,1,3352,1,1,2.722355050806933652121937,5,8,1,8866,1,
YAGO, > 90.0%, > 50,4006,1,1.208333333333333333333333,203,1,5746,1,1,2120,1,1,2.716784869976359338061466,5,8,1,5578,2,
YAGO, > 90.0%, > 100,2200,1,1.171875,150,1,3624,1,1,1333,1,1,2.726862302483069977426637,5,8,1,3496,2,
YAGO, > 90.0%, > 500,357,1,1.183673469387755102040816,58,1,1359,1,1,495,1,1,2.745454545454545454545455,5,7,1,1310,2,
YAGO, > 90.0%, > 1000,0,1,1.133333333333333333333333,34,-999,907,1,0,328,1,1,2.765243902439024390243902,2,7,-999,877,2,
YAGO, > 75.0%, > 1,22755,1,1.456008583690987124463519,1357,1,29286,1,1,8897,1.000070536784933342738238,2,3.293522267206477732793522,9,10,1,28356,2,
YAGO, > 75.0%, > 10,12929,1,1.376760563380281690140845,782,1,18167,1,1,5675,1.000113642820614807659526,2,3.203491447716452124845706,7,8,1,17601,2,
YAGO, > 75.0%, > 25,6920,1,1.279761904761904761904762,430,1,10505,1,1,3352,1.000196676172681679614515,2,3.137694145758661887694146,5,8,1,10171,2,
YAGO, > 75.0%, > 50,4006,1,1.218340611353711790393013,279,1,6601,1,1,2120,1,1,3.119565217391304347826087,5,8,1,6372,2,
YAGO, > 75.0%, > 100,2200,1,1.192982456140350877192982,204,1,4142,1,1,1333,1,1,3.116629044394281414597442,5,8,1,3971,2,
YAGO, > 75.0%, > 500,357,1,1.174603174603174603174603,74,1,1546,1,1,495,1,1,3.123232323232323232323232,5,7,1,1483,2,
YAGO, > 75.0%, > 1000,0,1,1.146341463414634146341463,47,-999,1038,1,0,328,1,1,3.164634146341463414634146,2,7,-999,997,2,
