Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,4140,NonLiteral
 > 25.0%, > 1,38485,Literal
 > 25.0%, > 10,1839,NonLiteral
 > 25.0%, > 10,22339,Literal
 > 25.0%, > 25,1067,NonLiteral
 > 25.0%, > 25,12918,Literal
 > 25.0%, > 50,724,NonLiteral
 > 25.0%, > 50,8150,Literal
 > 25.0%, > 100,536,NonLiteral
 > 25.0%, > 100,5168,Literal
 > 25.0%, > 500,233,NonLiteral
 > 25.0%, > 500,1957,Literal
 > 25.0%, > 1000,202,NonLiteral
 > 25.0%, > 1000,1441,Literal
 > 50.0%, > 1,1951,NonLiteral
 > 50.0%, > 1,33483,Literal
 > 50.0%, > 10,1131,NonLiteral
 > 50.0%, > 10,20452,Literal
 > 50.0%, > 25,648,NonLiteral
 > 50.0%, > 25,11791,Literal
 > 50.0%, > 50,428,NonLiteral
 > 50.0%, > 50,7400,Literal
 > 50.0%, > 100,311,NonLiteral
 > 50.0%, > 100,4644,Literal
 > 50.0%, > 500,106,NonLiteral
 > 50.0%, > 500,1706,Literal
 > 50.0%, > 1000,75,NonLiteral
 > 50.0%, > 1000,1197,Literal
 > 90.0%, > 1,1046,NonLiteral
 > 90.0%, > 1,24988,Literal
 > 90.0%, > 10,575,NonLiteral
 > 90.0%, > 10,15336,Literal
 > 90.0%, > 25,307,NonLiteral
 > 90.0%, > 25,8866,Literal
 > 90.0%, > 50,203,NonLiteral
 > 90.0%, > 50,5578,Literal
 > 90.0%, > 100,150,NonLiteral
 > 90.0%, > 100,3496,Literal
 > 90.0%, > 500,58,NonLiteral
 > 90.0%, > 500,1310,Literal
 > 90.0%, > 1000,34,NonLiteral
 > 90.0%, > 1000,877,Literal
 > 75.0%, > 1,1357,NonLiteral
 > 75.0%, > 1,28356,Literal
 > 75.0%, > 10,782,NonLiteral
 > 75.0%, > 10,17601,Literal
 > 75.0%, > 25,430,NonLiteral
 > 75.0%, > 25,10171,Literal
 > 75.0%, > 50,279,NonLiteral
 > 75.0%, > 50,6372,Literal
 > 75.0%, > 100,204,NonLiteral
 > 75.0%, > 100,3971,Literal
 > 75.0%, > 500,74,NonLiteral
 > 75.0%, > 500,1483,Literal
 > 75.0%, > 1000,47,NonLiteral
 > 75.0%, > 1000,997,Literal
