Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,29637,NonLiteral
 > 25.0%, > 1,36675,Literal
 > 25.0%, > 50,6476,NonLiteral
 > 25.0%, > 50,8153,Literal
 > 25.0%, > 100,4565,NonLiteral
 > 25.0%, > 100,5171,Literal
 > 25.0%, > 500,1977,NonLiteral
 > 25.0%, > 500,1928,Literal
 > 25.0%, > 1000,1382,NonLiteral
 > 25.0%, > 1000,1290,Literal
 > 50.0%, > 1,18199,NonLiteral
 > 50.0%, > 1,31663,Literal
 > 50.0%, > 50,4833,NonLiteral
 > 50.0%, > 50,7393,Literal
 > 50.0%, > 100,3374,NonLiteral
 > 50.0%, > 100,4637,Literal
 > 50.0%, > 500,1403,NonLiteral
 > 50.0%, > 500,1699,Literal
 > 50.0%, > 1000,955,NonLiteral
 > 50.0%, > 1000,1128,Literal
 > 90.0%, > 1,7753,NonLiteral
 > 90.0%, > 1,23171,Literal
 > 90.0%, > 50,1941,NonLiteral
 > 90.0%, > 50,5574,Literal
 > 90.0%, > 100,1332,NonLiteral
 > 90.0%, > 100,3492,Literal
 > 90.0%, > 500,530,NonLiteral
 > 90.0%, > 500,1306,Literal
 > 90.0%, > 1000,329,NonLiteral
 > 90.0%, > 1000,871,Literal
 > 75.0%, > 1,11821,NonLiteral
 > 75.0%, > 1,26537,Literal
 > 75.0%, > 50,3321,NonLiteral
 > 75.0%, > 50,6366,Literal
 > 75.0%, > 100,2290,NonLiteral
 > 75.0%, > 100,3965,Literal
 > 75.0%, > 500,986,NonLiteral
 > 75.0%, > 500,1477,Literal
 > 75.0%, > 1000,642,NonLiteral
 > 75.0%, > 1000,979,Literal
