class,countInstances,timeInSec
http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,1000,0
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Chair,9998,0
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,9998,0
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Lecturer,59978,0
http://swat.cse.lehigh.edu/onto/univ-bench.owl#FullProfessor,85006,1
http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssistantProfessor,94869,1
http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor,119942,1
http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup,150142,1
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,161140,1
http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant,279491,4
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor,299817,4
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty,359795,5
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee,359795,5
http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant,363890,5
http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateCourse,539467,4
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,1079580,9
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,1079580,9
http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,1259681,20
http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,3961133,50
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,4025854,58
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,5220814,71
http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,5580609,77
