class,countInstances,timeInSec
http://yago-knowledge.org/resource/Foothills,1,0
http://yago-knowledge.org/resource/Urban_area_(France),1,0
http://yago-knowledge.org/resource/Diterpene,1,0
http://yago-knowledge.org/resource/Högstadium,1,0
http://yago-knowledge.org/resource/Quatrain,1,0
http://yago-knowledge.org/resource/Garden_ornament,1,0
http://yago-knowledge.org/resource/Adventure_park,1,0
http://yago-knowledge.org/resource/Mill_pond,1,0
http://yago-knowledge.org/resource/Cantonal_police,1,0
http://yago-knowledge.org/resource/Buddhist_studies,1,0
http://yago-knowledge.org/resource/Urbarium,1,0
http://yago-knowledge.org/resource/Italian_mountain_community,1,0
http://yago-knowledge.org/resource/Brachydactyly,1,0
http://yago-knowledge.org/resource/Comic_novel,1,0
http://yago-knowledge.org/resource/Swedish_Indoor_Athletics_Championships,1,0
http://yago-knowledge.org/resource/Axe,1,0
http://yago-knowledge.org/resource/Orthographical_variant,1,0
http://yago-knowledge.org/resource/Cross_of_Sacrifice,1,0
http://yago-knowledge.org/resource/Irreducible_fraction,1,0
http://yago-knowledge.org/resource/Class_A_river,1,0
http://yago-knowledge.org/resource/German_Indoor_Athletics_Championships,1,0
http://yago-knowledge.org/resource/Byre,1,0
http://yago-knowledge.org/resource/Metaclass_(Semantic_Web),1,0
http://yago-knowledge.org/resource/Physiological_plant_disorder,1,0
http://yago-knowledge.org/resource/Lazaretto,1,0
http://yago-knowledge.org/resource/Secure_units_for_children,1,0
http://yago-knowledge.org/resource/Peru_International,1,0
http://yago-knowledge.org/resource/Family_court,1,0
http://yago-knowledge.org/resource/Yawl,1,0
http://yago-knowledge.org/resource/Isotopes_of_aluminium,1,0
http://yago-knowledge.org/resource/Mahallah,1,0
http://yago-knowledge.org/resource/Evening_gown,1,0
http://yago-knowledge.org/resource/Television,1,0
http://yago-knowledge.org/resource/Physical_geography,1,0
http://yago-knowledge.org/resource/Giant's_Church,1,0
http://yago-knowledge.org/resource/Radionuclide,1,0
http://yago-knowledge.org/resource/Vuelta_a_la_Comunidad_de_Madrid,1,0
http://yago-knowledge.org/resource/Sparebank,1,0
http://schema.org/SelfStorage,1,0
http://yago-knowledge.org/resource/List_of_narrative_forms,1,0
http://yago-knowledge.org/resource/Gift_(law),1,0
http://yago-knowledge.org/resource/Music_catalog,1,0
http://yago-knowledge.org/resource/Pulpit,1,0
http://yago-knowledge.org/resource/Stiftung,1,0
http://yago-knowledge.org/resource/Cantons_of_the_Soviet_Union,1,0
http://yago-knowledge.org/resource/Tithi,1,0
http://yago-knowledge.org/resource/Località,1,0
http://yago-knowledge.org/resource/German_folklore,1,0
http://yago-knowledge.org/resource/Rallye_Sanremo,1,0
http://yago-knowledge.org/resource/Italian_Partisan_Republics,1,0
http://yago-knowledge.org/resource/Isotopes_of_samarium,1,0
http://yago-knowledge.org/resource/Lak_Mueang,1,0
http://yago-knowledge.org/resource/Nymphaeum,1,0
http://yago-knowledge.org/resource/Car_club,1,0
http://yago-knowledge.org/resource/Record_producer,1,0
http://yago-knowledge.org/resource/Tunisian_Athletics_Championships,1,0
http://yago-knowledge.org/resource/Monstrance,1,0
http://yago-knowledge.org/resource/Gravitational_lens,1,0
http://yago-knowledge.org/resource/Long-term_experiment,1,0
http://yago-knowledge.org/resource/Hand_fan,1,0
